with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
initial,mei2,m
final,mei2,ei
final,ang2,ang
initial,shou3,sh
final,shou3,ou
initial,tian1,t
final,tian1,ian
final,wai4,uai
final,ang2,ang
initial,shou3,sh
final,shou3,ou
initial,ting3,t
final,ting3,ing
initial,xiong1,x
final,xiong1,iong
final,ang2,ang
initial,shou3,sh
final,shou3,ou
final,wang4,uang
initial,tian1,t
final,tian1,ian
final,ang2,ang
initial,tou2,t
final,tou2,ou
initial,kuo4,k
final,kuo4,uo
initial,bu4,b
final,bu4,u
final,ang2,ang
initial,tou2,t
final,tou2,ou
initial,tian1,t
final,tian1,ian
final,wai4,uai
final,ang2,ang
initial,tou2,t
final,tou2,ou
initial,ting3,t
final,ting3,ing
initial,xiong1,x
final,xiong1,iong
final,ang2,ang
initial,xiao1,x
final,xiao1,iao
initial,song3,s
final,song3,ong
initial,he4,h
final,he4,e
final,ang4,ang
final,yu2,v
initial,xiang1,x
final,xiang1,iang
initial,ji1,j
final,ji1,i
final,ang4,ang
final,yu2,v
initial,xiang1,x
final,xiang1,iang
initial,qiao1,q
final,qiao1,iao
final,ao4,ao
initial,bu4,b
final,bu4,u
initial,ke3,k
final,ke3,e
initial,zhang3,zh
final,zhang3,ang
final,ao2,ao
initial,shi4,sh
final,shi4,i
initial,qing1,q
final,qing1,ing
final,wu4,u
final,ao2,ao
final,ao2,ao
initial,dai4,d
final,dai4,ai
initial,bu3,b
final,bu3,u
final,ao2,ao
initial,xiang2,x
final,xiang2,iang
initial,zi4,z
final,zi4,i
initial,de2,d
final,de2,e
final,ao2,ao
initial,chang2,ch
final,chang2,ang
initial,gua1,g
final,gua1,ua
initial,du4,d
final,du4,u
final,ao2,ao
initial,geng1,g
final,geng1,eng
initial,shou3,sh
final,shou3,ou
final,ye4,ie
final,ao2,ao
initial,jiang1,j
final,jiang1,iang
initial,xia1,x
final,xia1,ia
initial,cu4,c
final,cu4,u
final,ao2,ao
initial,ku1,k
final,ku1,u
initial,shou4,sh
final,shou4,ou
initial,dan4,d
final,dan4,an
final,ao2,ao
initial,qing1,q
final,qing1,ing
initial,shou3,sh
final,shou3,ou
initial,dan4,d
final,dan4,an
final,ao2,ao
initial,qing1,q
final,qing1,ing
initial,shou3,sh
final,shou3,ou
initial,tan2,t
final,tan2,an
final,ao2,ao
initial,qing1,q
final,qing1,ing
initial,shou4,sh
final,shou4,ou
initial,dan4,d
final,dan4,an
final,ao2,ao
initial,xin1,x
final,xin1,in
initial,fei4,f
final,fei4,ei
initial,li4,l
final,li4,i
final,ao2,ao
final,you2,iou
initial,fei4,f
final,fei4,ei
initial,huo3,h
final,huo3,uo
final,ao2,ao
final,ya2,ia
initial,ji2,j
final,ji2,i
initial,qu1,q
final,qu1,v
final,ao2,ao
final,ya2,ia
initial,ji3,j
final,ji3,i
initial,kou3,k
final,kou3,ou
final,ao2,ao
final,ya2,ia
initial,jie2,j
final,jie2,ie
initial,qu1,q
final,qu1,v
final,ao2,ao
final,ya2,ia
initial,ji2,j
final,ji2,i
initial,qu1,q
final,qu1,v
final,ao2,ao
final,ya2,ia
initial,ji2,j
final,ji2,i
initial,qu1,q
final,qu1,v
final,ao2,ao
initial,fen4,f
final,fen4,en
initial,long2,l
final,long2,ong
initial,chou2,ch
final,chou2,ou
final,ao2,ao
initial,li3,l
final,li3,i
initial,duo2,d
final,duo2,uo
initial,zun1,z
final,zun1,uen
final,ao2,ao
initial,ming2,m
final,ming2,ing
initial,bie1,b
final,bie1,ie
final,ying1,ing
final,ao2,ao
initial,tou2,t
final,tou2,ou
initial,du2,d
final,du2,u
initial,zhan4,zh
final,zhan4,an
final,ao2,ao
initial,zhi4,zh
final,zhi4,i
initial,jing1,j
final,jing1,ing
initial,qu4,q
final,qu4,v
final,ao2,ao
initial,zhi4,zh
final,zhi4,i
initial,jing1,j
final,jing1,ing
initial,tun1,t
final,tun1,uen
final,ao4,ao
initial,bu4,b
final,bu4,u
initial,ke3,k
final,ke3,e
initial,zhang3,zh
final,zhang3,ang
final,ao4,ao
initial,gu3,g
final,gu3,u
initial,lin2,l
final,lin2,in
initial,lin2,l
final,lin2,in
final,ao4,ao
initial,man4,m
final,man4,an
initial,bu4,b
final,bu4,u
initial,xun4,x
final,xun4,vn
final,ao4,ao
initial,man4,m
final,man4,an
initial,shao3,sh
final,shao3,ao
initial,li3,l
final,li3,i
final,ao4,ao
initial,man4,m
final,man4,an
final,wu2,u
initial,li3,l
final,li3,i
final,ao4,ao
initial,ni4,n
final,ni4,i
initial,de2,d
final,de2,e
initial,zhi4,zh
final,zhi4,i
final,ao4,ao
initial,ni4,n
final,ni4,i
final,wan4,uan
final,wu4,u
final,ao4,ao
initial,ni4,n
final,ni4,i
final,yi1,i
initial,qie4,q
final,qie4,ie
final,ao4,ao
initial,ni4,n
final,ni4,i
final,yi1,i
initial,shi4,sh
final,shi4,i
final,ao4,ao
initial,ni4,n
final,ni4,i
initial,zi4,z
final,zi4,i
initial,ruo4,r
final,ruo4,uo
final,ao4,ao
initial,ran2,r
final,ran2,an
initial,ting3,t
final,ting3,ing
initial,li4,l
final,li4,i
final,ao4,ao
initial,ran2,r
final,ran2,an
final,yi4,i
initial,li4,l
final,li4,i
final,ao4,ao
initial,shi4,sh
final,shi4,i
initial,qing1,q
final,qing1,ing
final,wu4,u
final,ao4,ao
initial,shuang1,sh
final,shuang1,uang
initial,dou4,d
final,dou4,ou
initial,xue3,x
final,xue3,ve
final,ao4,ao
initial,tou2,t
final,tou2,ou
final,ao4,ao
initial,nao3,n
final,nao3,ao
final,ao4,ao
initial,xian2,x
final,xian2,ian
initial,man4,m
final,man4,an
initial,shi4,sh
final,shi4,i
final,ao4,ao
initial,xue3,x
final,xue3,ve
initial,ling2,l
final,ling2,ing
initial,shuang1,sh
final,shuang1,uang
final,ao4,ao
initial,xue3,x
final,xue3,ve
initial,qi1,q
final,qi1,i
initial,shuang1,sh
final,shuang1,uang
final,ao4,ao
initial,miao4,m
final,miao4,iao
final,wu2,u
initial,qiong2,q
final,qiong2,iong
final,ao4,ao
final,yuan2,van
final,you3,iou
initial,ling2,l
final,ling2,ing
final,ao4,ao
initial,hui3,h
final,hui3,uei
final,wu2,u
initial,ji2,j
final,ji2,i
initial,ba1,b
final,ba1,a
initial,bai3,b
final,bai3,ai
initial,gu1,g
final,gu1,u
initial,han2,h
final,han2,an
initial,ba1,b
final,ba1,a
initial,bai4,b
final,bai4,ai
initial,zhi1,zh
final,zhi1,i
initial,jiao1,j
final,jiao1,iao
initial,ba1,b
final,ba1,a
initial,chuang1,ch
final,chuang1,uang
initial,ling2,l
final,ling2,ing
initial,long2,l
final,long2,ong
initial,ba1,b
final,ba1,a
initial,dou3,d
final,dou3,ou
initial,zhi1,zh
final,zhi1,i
initial,cai2,c
final,cai2,ai
initial,ba1,b
final,ba1,a
initial,fang1,f
final,fang1,ang
initial,feng1,f
final,feng1,eng
final,yu3,v
initial,ba1,b
final,ba1,a
initial,fang1,f
final,fang1,ang
initial,hu1,h
final,hu1,u
final,ying4,ing
initial,ba1,b
final,ba1,a
initial,fang1,f
final,fang1,ang
initial,zhi1,zh
final,zhi1,i
initial,chi2,ch
final,chi2,i
initial,ba1,b
final,ba1,a
initial,fang1,f
final,fang1,ang
initial,zhi1,zh
final,zhi1,i
final,yuan2,van
initial,ba1,b
final,ba1,a
initial,fu3,f
final,fu3,u
initial,xun2,x
final,xun2,vn
final,an4,an
initial,ba1,b
final,ba1,a
initial,hong2,h
final,hong2,ong
initial,tong2,t
final,tong2,ong
initial,gui3,g
final,gui3,uei
initial,ba1,b
final,ba1,a
initial,huang1,h
final,huang1,uang
initial,zhi1,zh
final,zhi1,i
final,wai4,uai
initial,ba1,b
final,ba1,a
initial,jie1,j
final,jie1,ie
initial,jiu3,j
final,jiu3,iou
initial,mo4,m
final,mo4,o
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
initial,jian4,j
final,jian4,ian
initial,guang1,g
final,guang1,uang
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
initial,ling2,l
final,ling2,ing
initial,long2,l
final,long2,ong
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
initial,shi3,sh
final,shi3,i
initial,feng1,f
final,feng1,eng
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
initial,shou4,sh
final,shou4,ou
initial,di2,d
final,di2,i
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
final,wei1,uei
initial,feng1,f
final,feng1,eng
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
final,ying2,ing
initial,che4,ch
final,che4,e
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
final,yuan2,van
initial,tong1,t
final,tong1,ong
initial,ba1,b
final,ba1,a
initial,mian4,m
final,mian4,ian
initial,zhang1,zh
final,zhang1,ang
initial,luo,l
final,luo,uo
initial,ba1,b
final,ba1,a
initial,nan4,n
final,nan4,an
initial,san1,s
final,san1,an
initial,zai1,z
final,zai1,ai
initial,ba1,b
final,ba1,a
final,wan4,uan
initial,si4,s
final,si4,i
initial,qian1,q
final,qian1,ian
initial,ba1,b
final,ba1,a
initial,xian1,x
final,xian1,ian
initial,guo4,g
final,guo4,uo
initial,hai3,h
final,hai3,ai
initial,ba1,b
final,ba1,a
final,yin1,in
initial,die2,d
final,die2,ie
initial,zou4,z
final,zou4,ou
initial,ba1,b
final,ba1,a
final,yin1,in
final,e4,e
initial,mi4,m
final,mi4,i
initial,ba1,b
final,ba1,a
initial,zhen1,zh
final,zhen1,en
final,yu4,v
initial,shi2,sh
final,shi2,i
initial,ba1,b
final,ba1,a
initial,zi4,z
final,zi4,i
initial,da3,d
final,da3,a
initial,kai1,k
final,kai1,ai
initial,ba1,b
final,ba1,a
initial,ba1,b
final,ba1,a
initial,ji2,j
final,ji2,i
initial,ji2,j
final,ji2,i
initial,ba1,b
final,ba1,a
initial,ba1,b
final,ba1,a
initial,jie2,j
final,jie2,ie
initial,jie2,j
final,jie2,ie
initial,ba1,b
final,ba1,a
initial,ba1,b
final,ba1,a
initial,jie1,j
final,jie1,ie
initial,jie1,j
final,jie1,ie
initial,ba1,b
final,ba1,a
initial,gao1,g
final,gao1,ao
final,wang4,uang
initial,shang4,sh
final,shang4,ang
initial,ba1,b
final,ba1,a
initial,gao1,g
final,gao1,ao
initial,zhi1,zh
final,zhi1,i
final,er2,er
initial,ba1,b
final,ba1,a
initial,qian2,q
final,qian2,ian
initial,suan4,s
final,suan4,uan
initial,hou4,h
final,hou4,ou
initial,ba1,b
final,ba1,a
initial,ren2,r
final,ren2,en
initial,xia4,x
final,xia4,ia
initial,li3,l
final,li3,i
initial,ba1,b
final,ba1,a
initial,san1,s
final,san1,an
initial,lan3,l
final,lan3,an
initial,si4,s
final,si4,i
initial,ba1,b
final,ba1,a
initial,san1,s
final,san1,an
initial,lan3,l
final,lan3,an
initial,si4,s
final,si4,i
initial,ba1,b
final,ba1,a
initial,shan1,sh
final,shan1,an
initial,du4,d
final,du4,u
initial,ling3,l
final,ling3,ing
initial,ba1,b
final,ba1,a
initial,shan1,sh
final,shan1,an
initial,shu3,sh
final,shu3,u
initial,shui3,sh
final,shui3,uei
initial,ba1,b
final,ba1,a
initial,shan1,sh
final,shan1,an
final,ye4,ie
final,yu3,v
initial,ba1,b
final,ba1,a
initial,shan1,sh
final,shan1,an
final,yue4,ve
initial,ling3,l
final,ling3,ing
initial,ba1,b
final,ba1,a
initial,tou2,t
final,tou2,ou
initial,tan4,t
final,tan4,an
initial,nao3,n
final,nao3,ao
initial,pa2,p
final,pa2,a
final,er3,er
initial,sao1,s
final,sao1,ao
initial,sai1,s
final,sai1,ai
initial,ba1,b
final,ba1,a
initial,gao1,g
final,gao1,ao
initial,cai3,c
final,cai3,ai
initial,di1,d
final,di1,i
initial,han4,h
final,han4,an
initial,ge2,g
final,ge2,e
initial,bu4,b
final,bu4,u
initial,ru4,r
final,ru4,u
initial,ba2,b
final,ba2,a
initial,ben3,b
final,ben3,en
initial,se4,s
final,se4,e
final,yuan2,van
initial,ba2,b
final,ba2,a
initial,ben3,b
final,ben3,en
initial,se4,s
final,se4,e
final,yuan2,van
initial,ba2,b
final,ba2,a
initial,cong2,c
final,cong2,ong
initial,chu1,ch
final,chu1,u
initial,lei4,l
final,lei4,ei
initial,ba2,b
final,ba2,a
initial,cui4,c
final,cui4,uei
initial,chu1,ch
final,chu1,u
initial,lei4,l
final,lei4,ei
initial,ba2,b
final,ba2,a
initial,cui4,c
final,cui4,uei
initial,chu1,ch
final,chu1,u
initial,qun2,q
final,qun2,vn
initial,ba2,b
final,ba2,a
initial,dao1,d
final,dao1,ao
initial,xiang1,x
final,xiang1,iang
initial,xiang4,x
final,xiang4,iang
initial,ba2,b
final,ba2,a
initial,dao1,d
final,dao1,ao
initial,xiang1,x
final,xiang1,iang
initial,zhu4,zh
final,zhu4,u
initial,ba2,b
final,ba2,a
initial,di4,d
final,di4,i
initial,can1,c
final,can1,an
initial,tian1,t
final,tian1,ian
initial,ba2,b
final,ba2,a
initial,di4,d
final,di4,i
final,yao2,iao
initial,shan1,sh
final,shan1,an
initial,ba2,b
final,ba2,a
initial,di4,d
final,di4,i
final,yi3,i
initial,tian1,t
final,tian1,ian
initial,ba2,b
final,ba2,a
initial,ding1,d
final,ding1,ing
initial,chou1,ch
final,chou1,ou
initial,xie1,x
final,xie1,ie
initial,ba2,b
final,ba2,a
initial,guo1,g
final,guo1,uo
initial,juan3,j
final,juan3,van
initial,xi2,x
final,xi2,i
initial,ba2,b
final,ba2,a
initial,jian4,j
final,jian4,ian
initial,lun4,l
final,lun4,uen
initial,gong1,g
final,gong1,ong
initial,ba2,b
final,ba2,a
initial,kui2,k
final,kui2,uei
initial,dan4,d
final,dan4,an
initial,zao3,z
final,zao3,ao
initial,ba2,b
final,ba2,a
initial,kui2,k
final,kui2,uei
initial,qu4,q
final,qu4,v
initial,zhi1,zh
final,zhi1,i
initial,ba2,b
final,ba2,a
initial,lai2,l
final,lai2,ai
initial,fu4,f
final,fu4,u
final,wang3,uang
initial,ba2,b
final,ba2,a
initial,lei4,l
final,lei4,ei
initial,chao1,ch
final,chao1,ao
initial,qun2,q
final,qun2,vn
initial,ba2,b
final,ba2,a
initial,mao2,m
final,mao2,ao
initial,ji4,j
final,ji4,i
initial,shi4,sh
final,shi4,i
initial,ba2,b
final,ba2,a
initial,mao2,m
final,mao2,ao
initial,lian2,l
final,lian2,ian
initial,ru2,r
final,ru2,u
initial,ba2,b
final,ba2,a
initial,mao2,m
final,mao2,ao
initial,lian2,l
final,lian2,ian
initial,ru2,r
final,ru2,u
initial,ba2,b
final,ba2,a
initial,miao2,m
final,miao2,iao
initial,zhu4,zh
final,zhu4,u
initial,zhang3,zh
final,zhang3,ang
initial,ba2,b
final,ba2,a
initial,qun2,q
final,qun2,vn
initial,chu1,ch
final,chu1,u
initial,cui4,c
final,cui4,uei
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,chao1,ch
final,chao1,ao
initial,hai3,h
final,hai3,ai
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,gai4,g
final,gai4,ai
initial,shi4,sh
final,shi4,i
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,ju3,j
final,ju3,v
initial,ding3,d
final,ding3,ing
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,gang1,g
final,gang1,ang
initial,ding3,d
final,ding3,ing
initial,ba2,b
final,ba2,a
initial,shi2,sh
final,shi2,i
initial,de2,d
final,de2,e
final,wu3,u
initial,ba2,b
final,ba2,a
initial,shi2,sh
final,shi2,i
initial,shi1,sh
final,shi1,i
final,wu3,u
initial,ba2,b
final,ba2,a
initial,shu4,sh
final,shu4,u
initial,han4,h
final,han4,an
initial,shan1,sh
final,shan1,an
initial,ba2,b
final,ba2,a
initial,shu4,sh
final,shu4,u
initial,sou1,s
final,sou1,ou
initial,gen1,g
final,gen1,en
initial,ba2,b
final,ba2,a
initial,shu4,sh
final,shu4,u
initial,xun2,x
final,xun2,vn
initial,gen1,g
final,gen1,en
initial,ba2,b
final,ba2,a
initial,xi1,x
final,xi1,i
initial,zhuo2,zh
final,zhuo2,uo
initial,xiang4,x
final,xiang4,iang
initial,ba2,b
final,ba2,a
initial,xia2,x
final,xia2,ia
initial,tou2,t
final,tou2,ou
initial,jing3,j
final,jing3,ing
initial,ba2,b
final,ba2,a
initial,xin1,x
final,xin1,in
initial,ling3,l
final,ling3,ing
final,yi4,i
initial,ba2,b
final,ba2,a
initial,zhai2,zh
final,zhai2,ai
initial,fei1,f
final,fei1,ei
initial,sheng1,sh
final,sheng1,eng
initial,ba2,b
final,ba2,a
initial,zhai2,zh
final,zhai2,ai
initial,shang4,sh
final,shang4,ang
initial,sheng1,sh
final,sheng1,eng
initial,ba2,b
final,ba2,a
initial,zhao4,zh
final,zhao4,ao
final,yi4,i
initial,han4,h
final,han4,an
initial,ba2,b
final,ba2,a
initial,zhi4,zh
final,zhi4,i
initial,shu4,sh
final,shu4,u
initial,zhi4,zh
final,zhi4,i
initial,ba2,b
final,ba2,a
initial,zhi4,zh
final,zhi4,i
final,yi4,i
initial,zhi4,zh
final,zhi4,i
initial,ba2,b
final,ba2,a
initial,hu2,h
final,hu2,u
initial,zhi4,zh
final,zhi4,i
final,wei3,uei
initial,ba2,b
final,ba2,a
initial,hu4,h
final,hu4,u
initial,fei1,f
final,fei1,ei
final,yang2,iang
initial,ba2,b
final,ba2,a
initial,hu4,h
final,hu4,u
initial,zi4,z
final,zi4,i
initial,zi4,z
final,zi4,i
initial,ba2,b
final,ba2,a
initial,hu4,h
final,hu4,u
initial,zi4,z
final,zi4,i
initial,sui1,s
final,sui1,uei
initial,ba2,b
final,ba2,a
initial,lai2,l
final,lai2,ai
initial,fu4,f
final,fu4,u
final,wang3,uang
initial,ba2,b
final,ba2,a
initial,lv3,l
final,lv3,v
initial,shan1,sh
final,shan1,an
initial,chuan1,ch
final,chuan1,uan
initial,ba2,b
final,ba2,a
initial,qian2,q
final,qian2,ian
initial,jie2,j
final,jie2,ie
initial,hou4,h
final,hou4,ou
initial,ba2,b
final,ba2,a
initial,qian2,q
final,qian2,ian
initial,zhi4,zh
final,zhi4,i
initial,hou4,h
final,hou4,ou
initial,ba2,b
final,ba2,a
initial,qian2,q
final,qian2,ian
initial,zhi4,zh
final,zhi4,i
initial,hou4,h
final,hou4,ou
initial,cang1,c
final,cang1,ang
initial,jie2,j
final,jie2,ie
initial,zao4,z
final,zao4,ao
initial,zi4,z
final,zi4,i
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,she4,sh
final,she4,e
initial,chuan1,ch
final,chuan1,uan
initial,ba2,b
final,ba2,a
initial,shan1,sh
final,shan1,an
initial,she4,sh
final,she4,e
initial,shui3,sh
final,shui3,uei
initial,ba2,b
final,ba2,a
initial,she4,sh
final,she4,e
initial,shan1,sh
final,shan1,an
initial,chuan1,ch
final,chuan1,uan
initial,ba3,b
final,ba3,a
initial,bi4,b
final,bi4,i
initial,ru4,r
final,ru4,u
initial,lin2,l
final,lin2,in
initial,ba3,b
final,ba3,a
initial,bi4,b
final,bi4,i
initial,xu2,x
final,xu2,v
initial,qu4,q
final,qu4,v
initial,ba3,b
final,ba3,a
initial,chi2,ch
final,chi2,i
initial,bu4,b
final,bu4,u
initial,ding4,d
final,ding4,ing
initial,ba3,b
final,ba3,a
initial,fan4,f
final,fan4,an
initial,jiao4,j
final,jiao4,iao
initial,ji1,j
final,ji1,i
initial,ba3,b
final,ba3,a
initial,jiu3,j
final,jiu3,iou
initial,chi2,ch
final,chi2,i
final,ao2,ao
initial,ba3,b
final,ba3,a
initial,su4,s
final,su4,u
initial,chi2,ch
final,chi2,i
initial,zhai1,zh
final,zhai1,ai
initial,ba3,b
final,ba3,a
final,wan2,uan
final,wu3,u
final,yan4,ian
initial,ba3,b
final,ba3,a
initial,xin1,x
final,xin1,in
initial,zhu4,zh
final,zhu4,u
initial,huo3,h
final,huo3,uo
initial,ba1,b
final,ba1,a
initial,chu4,ch
final,chu4,u
initial,bai3,b
final,bai3,ai
initial,jia1,j
final,jia1,ia
initial,ba4,b
final,ba4,a
initial,dao4,d
final,dao4,ao
initial,heng2,h
final,heng2,eng
initial,xing2,x
final,xing2,ing
initial,ba4,b
final,ba4,a
initial,ling2,l
final,ling2,ing
initial,zui4,z
final,zui4,uei
final,wei4,uei
initial,ba4,b
final,ba4,a
final,wang2,uang
initial,bie2,b
final,bie2,ie
initial,ji1,j
final,ji1,i
initial,ba4,b
final,ba4,a
final,wang2,uang
initial,feng1,f
final,feng1,eng
final,yue4,ve
initial,bai2,b
final,bai2,ai
initial,bai2,b
final,bai2,ai
initial,zhu1,zh
final,zhu1,u
initial,zhu1,zh
final,zhu1,u
initial,bai2,b
final,bai2,ai
initial,bi4,b
final,bi4,i
initial,qing1,q
final,qing1,ing
final,ying2,ing
initial,bai2,b
final,bai2,ai
initial,bi4,b
final,bi4,i
initial,san1,s
final,san1,an
initial,xian4,x
final,xian4,ian
initial,bai2,b
final,bai2,ai
initial,bi4,b
final,bi4,i
final,wei1,uei
initial,xia2,x
final,xia2,ia
initial,bai2,b
final,bai2,ai
initial,bi4,b
final,bi4,i
final,wu2,u
initial,xia2,x
final,xia2,ia
initial,bai2,b
final,bai2,ai
initial,cao3,c
final,cao3,ao
initial,huang2,h
final,huang2,uang
final,yun2,vn
initial,bai2,b
final,bai2,ai
initial,chi3,ch
final,chi3,i
initial,qing1,q
final,qing1,ing
initial,mei2,m
final,mei2,ei
initial,bai2,b
final,bai2,ai
initial,diao4,d
final,diao4,iao
initial,tong2,t
final,tong2,ong
initial,xin1,x
final,xin1,in
initial,bai2,b
final,bai2,ai
initial,ding1,d
final,ding1,ing
initial,su2,s
final,su2,u
initial,ke4,k
final,ke4,e
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,cang1,c
final,cang1,ang
initial,cang1,c
final,cang1,ang
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,cang1,c
final,cang1,ang
final,yan2,ian
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,dan1,d
final,dan1,an
initial,xin1,x
final,xin1,in
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,hong2,h
final,hong2,ong
final,yan2,ian
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,qian1,q
final,qian1,ian
initial,zhang4,zh
final,zhang4,ang
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,qing1,q
final,qing1,ing
initial,shan1,sh
final,shan1,an
initial,bai2,b
final,bai2,ai
initial,fa4,f
final,fa4,a
initial,zhu1,zh
final,zhu1,u
final,yan2,ian
initial,bai2,b
final,bai2,ai
initial,fan4,f
final,fan4,an
initial,qing1,q
final,qing1,ing
initial,chu2,ch
final,chu2,u
initial,bai2,b
final,bai2,ai
initial,gu3,g
final,gu3,u
initial,lu4,l
final,lu4,u
final,ye3,ie
initial,bai2,b
